node_1|node_2|edge|chunk_id
alligator|diencephalon|development in|9d187ab800674faa998feb3551df4355
early diencephalon development|alligator|in|9d187ab800674faa998feb3551df4355
reptiles|diencephalon|development in|9d187ab800674faa998feb3551df4355
birds|diencephalon|development in|9d187ab800674faa998feb3551df4355
mammals|diencephalon|development in|9d187ab800674faa998feb3551df4355
forebrain|vertebrates|the forebrain of vertebrates|da2d2abcd1c34ff9b65cbc36e8cdbbcb
organization|evolution|unravel the organization and evolution of the forebrain in vertebrates|da2d2abcd1c34ff9b65cbc36e8cdbbcb
neuronal cell types|aggregates|analysis of neuronal cell types and aggregates|da2d2abcd1c34ff9b65cbc36e8cdbbcb
development|ontogeny|analyze development, with the hope that certain features might be uncovered which would have remained obscure had only adult animals been examined|da2d2abcd1c34ff9b65cbc36e8cdbbcb
diencephalon|telencephalon|the properties of the diencephalon are seemingly less complex than that of the telencephalon|da2d2abcd1c34ff9b65cbc36e8cdbbcb
diencephalon|vertebrates|the diencephalon shares common characters in all vertebrates during early development and changes occur later in time which are specific for that group or species|da2d2abcd1c34ff9b65cbc36e8cdbbcb
alligator mississipiensis|reptiles|Alligator mississipiensis is a type of reptile|f5246dd1ed67481a9f8a27745956d30a
diencephalon|development|The development of the diencephalon was investigated in the context of Alligator mississipiensis embryos|f5246dd1ed67481a9f8a27745956d30a
diencephalon|ontogeny|The study examined the ontogeny of the diencephalon in Alligator mississipiensis|f5246dd1ed67481a9f8a27745956d30a
pretectum|diencephalon|The pretectum is a part of the diencephalon|f5246dd1ed67481a9f8a27745956d30a
forebrain|evolution|The evolution of the forebrain, including the diencephalon, was studied in the context of Alligator mississipiensis embryos|f5246dd1ed67481a9f8a27745956d30a
early diencephalon development|birds (chick)|occurs in|4681523058f8449fb0dbe967631c4565
early diencephalon development|mammals (humans)|follows a similar pattern to|4681523058f8449fb0dbe967631c4565
diencephalic compartment|par-encephalon|divides into|4681523058f8449fb0dbe967631c4565
diencephalic compartment|synencephalon|divides into|4681523058f8449fb0dbe967631c4565
parencephalon|anterior unit|subdivides into|4681523058f8449fb0dbe967631c4565
parencephalon|posterior unit|subdivides into|4681523058f8449fb0dbe967631c4565
studies|present study|include|4681523058f8449fb0dbe967631c4565
mammal|mouse|representative example|4a663b26081b4584835f3e5fcbc98c43
bird|chick|example for birds|4a663b26081b4584835f3e5fcbc98c43
mammals|birds|diverged early in phylogeny|4a663b26081b4584835f3e5fcbc98c43
crocodilians|birds|reptilian group most closely related to birds|4a663b26081b4584835f3e5fcbc98c43
american alligator|alligator mississipiensis|representative of the order|4a663b26081b4584835f3e5fcbc98c43
diencephalon development|early diencephalon development in alligator|details report on|4a663b26081b4584835f3e5fcbc98c43
morphological techniques|forebrain|applied to the forebrain|4a663b26081b4584835f3e5fcbc98c43
alligator|diencephalon|part of|90c5b329ee1f4f309b9ad2846eee8d9a
morpho-logic features|divisions of the diencephalon|identify|90c5b329ee1f4f309b9ad2846eee8d9a
development|alligator|happens in|90c5b329ee1f4f309b9ad2846eee8d9a
early stages of development|diencephalon|pertains to|90c5b329ee1f4f309b9ad2846eee8d9a
vertebrates|alligator|comparable with|90c5b329ee1f4f309b9ad2846eee8d9a
organization|diencephalon|pertains to|90c5b329ee1f4f309b9ad2846eee8d9a
birds|mammals|similar with|90c5b329ee1f4f309b9ad2846eee8d9a
ontogeny|development|related to|90c5b329ee1f4f309b9ad2846eee8d9a
events|development|produces|90c5b329ee1f4f309b9ad2846eee8d9a
diencephalic subdivisions|developmentally significant criteria|represent|059aaeb19b7f4dbcbd279f1ed6a6bfac
keynes and lumsden (1990)|develop-mentally significant criteria|enumerated|059aaeb19b7f4dbcbd279f1ed6a6bfac
gene or transcription factor expression|individual units|investigate|059aaeb19b7f4dbcbd279f1ed6a6bfac
hindbrain|rhombomeres|can be seen|059aaeb19b7f4dbcbd279f1ed6a6bfac
transversal diencephalic subdivisions|identification|proved elusive|059aaeb19b7f4dbcbd279f1ed6a6bfac
procedures and protocols|animal care committee|reviewed and approved|059aaeb19b7f4dbcbd279f1ed6a6bfac
national institute of health guidelines|procedures and protocols|conform to|059aaeb19b7f4dbcbd279f1ed6a6bfac
alligator eggs|rockefeller wildlife refuge|obtained from|059aaeb19b7f4dbcbd279f1ed6a6bfac
eggs|vermiculite and water|placed in a mixture of|059aaeb19b7f4dbcbd279f1ed6a6bfac
embryos|stages|The embryos were sacrificed between stages 2 and 16.|851729560a3d4cf89d0d895ef0577b6d
fixatives|morphological stains|A variety of fixatives were used for the various morphological stains.|851729560a3d4cf89d0d895ef0577b6d
fixatives|histochemical and immunocytochemical experiments|However, best results for histochemical and immunocytochemical experiments were obtained with 100 methanol as the fixative.|851729560a3d4cf89d0d895ef0577b6d
embryos|tissues|Embyros were first staged and then dissected free from surrounding tissues using a fine tungsten needle, microscissors, and jewelers forceps.|851729560a3d4cf89d0d895ef0577b6d
brains|isthmus|Except at the earliest stages, brains were divided at the isthmus and the forebrain and midbrain were processed as a single unit.|851729560a3d4cf89d0d895ef0577b6d
brains|histochemistry and immunocytochemistry|In brains stored at 70 C, best results for histochemistry and immunocytochemistry were achieved by gradual tissue re-warming.|851729560a3d4cf89d0d895ef0577b6d
fixatives|cresyl violet|Brains stained for cresyl violet were placed in a variety of fixatives: 10 formalin; 4 para-formaldehyde; 4 glutaraldehyde; or Bouins solution.|851729560a3d4cf89d0d895ef0577b6d
brains|gelatin|embedded in|a069c2b3bb334c1fb53930c7b5c37bf4
blocks|sucrose|placed overnight in|a069c2b3bb334c1fb53930c7b5c37bf4
blocks|pbs (0.1 m at ph 7.2)|in|a069c2b3bb334c1fb53930c7b5c37bf4
brains|diencephalon|illustrating plane of section|a069c2b3bb334c1fb53930c7b5c37bf4
